ref,name,official_name,distance
Т-04-41,Дніпро – Царичанка – Кобеляки – Решетилівка на ділянці с. Лобойківка – с-ще Петриківка,Дніпро - Царичанка - Кобеляки - Решетилівка на ділянці с. Лобойківка - с-ще Петриківка,32.2
Т-04-42,Під’їзд до м. Кривого Рогу,Під’їзд до м. Кривого Рогу,3.5
Т-04-43,Т-04-47 – Сергіївка – Н-23,/Т-04-47/ — Сергіївка — /Н-23/,38.7
Т-04-44,Новомиколаївка – Богданівка – Сурсько-Михайлівка,Новомиколаївка — Богданівка — Сурсько-Михайлівка,14.7
Т-04-45,Синельникове – Славгород – Вільнянськ,Синельникове — Славгород — Вільнянськ,25.8
Т-04-46,Верхньодніпровськ – Лихівка,Верхньодніпровськ — Лихівка,26.6
Т-04-47,Кривий Ріг – Широке – Шестірня – Заградівка,Кривий Ріг — Широке — Шестірня — Заградівка,34.9
Т-05-05,Авдіївка – Донецьк,Авдіївка — Донецьк,7.6
Т-05-07,Донецьк – Харцизьк – Амвросіївка – контрольно-пропускний пункт “Успенка”,Донецьк — Харцизьк — Амвросіївка — контрольно-пропускний пункт “Успенка”,62.5
Т-05-08,Донецьк – Новоазовськ – Сєдове,Донецьк — Новоазовськ — Сєдове,111.3
Т-05-09,Велика Новосілка – Амвросіївка,Велика Новосілка — Амвросіївка,124
Т-05-10,Сніжне – Маринівка,Сніжне — Маринівка,16.4
Т-05-12,Волноваха – Бойківське,Волноваха — Бойківське,50.8
Т-05-13,Лиман – Бахмут – Горлівка,Лиман — Бахмут — Горлівка,78.4
Т-05-14,Добропілля – Лиман,Добропілля —  Лиман,64.1
Т-05-15,Олександрівка – Покровськ – Костянтинопіль,Олександрівка — Покровськ — Костянтинопіль,92.2
Т-05-16,Костянтинівка – Торецьк,Костянтинівка — Торецьк,16
Т-05-17,Єнакієве – Шахтарськ – Амвросіївка,Єнакієве — Шахтарськ — Амвросіївка,45.5
Т-05-18,Багатир – Велика Новосілка – Нікольське,Багатир — Велика Новосілка — Нікольське,119.3
Т-05-19,Амвросіївка – Бойківське – Маріуполь,Амвросіївка — Бойківське — Маріуполь,121.6
Т-05-20,М-30 – Горлівка,/М-30/ — Горлівка,8.3
Т-05-21,М-03 – під’їзд до м. Святогірська,/М-03/ — під’їзд до м. Святогірська,9.4
Т-05-22,Н-21 – під’їзд до Савур Могили,/Н-21/ — під’їзд до Савур Могили,9.1
Т-05-23,Н-20 – Кременівка – Ялта,/Н-20/ — Кременівка — Ялта,59.5
Т-05-24,Н-15 – Вугледар – Павлівка,/Н-15/ — Вугледар — Павлівка,21.6
Т-05-25,Михайлівка – Селидове – Курахове,Михайлівка — Селидове — Курахове,21.1
Т-05-26,Н-20 – Авдіївка,/Н-20/ — Авдіївка,3.2
Т-06-01,Баранівка – Висока Піч,Баранівка — Висока Піч,44.3
Т-06-02,М-06 – Коростишів,/М-06/ —  Коростишів,1.6
Т-06-03,М-06 – Пулини – Хорошів – М-21,/М-06/ —  Пулини — Хорошів — /М-21/,37.7
Т-06-04,Коростень – Народичі,Коростень —  Народичі,29.1
Т-06-05,Контрольно-пропускний пункт “Майдан Копищенський” – Олевськ – Ємільчине – Р-49,Контрольно-пропускний пункт “Майдан Копищенський” — Олевськ — Ємільчине  — /Р-49/,99.4
Т-06-07,Овруч – Народичі,Овруч — Народичі,23.1
Т-06-08,Малин – Кочерів,Малин — Кочерів,50.9
Т-06-09,Р-18 – Андрушівка,/Р-18/ — Андрушівка,5
Т-06-10,Любар – Хмільник – Лука-Барська – Нова Ушиця,Любар — Хмільник — Лука-Барська — Нова Ушиця,163.3
Т-06-11,Ставище – Брусилів – Попільня,Ставище — Брусилів — Попільня,57.2
Т-06-12,Звягель – Полонне – Старокостянтинів,Звягель — Полонне — Старокостянтинів,102
Т-06-13,Коростень – М-07 через Кожухівку,Коростень — /М-07/ через Кожухівку,9.2
Т-06-14,"Глибочиця – Станишівка через Калинівку, Клітчин","Глибочиця — Станишівка через Калинівку, Клітчин",9
Т-06-15,М-07 – Лугини,/М-07/ — Лугини,2.7
Т-06-18,Залужне – Романів,Залужне — Романів,8.3
Т-06-19,Овруцьке напівкільце,Овруцьке напівкільце,7.5
Т-07-09,Об’їзна м. Мукачева,Об’їзна м. Мукачева,5.8
Т-07-10,Ужок – Нижні Ворота,Ужок — Нижні Ворота,40.6
