ref,official_name,name,distance,district,localities
С-02-23-24,(Бердичів – Хмільник – Літин) - Лип' ятин,Р-31 – Лип' ятин,6.053,Хмільницький район,Уланівська сільська
С-02-23-25,Кропивна - Ступник,Кропивна – Ступник,3.275,Хмільницький район,Уланівська сільська
С-02-23-26,Уланів – Чернятинці - Сьомаки,Уланів – Чернятинці – Сьомаки,8.707,Хмільницький район,"Уланівська сільська,
Хмільницька міська"
С-02-23-27,Білий Рукав - Кривошиї,Білий Рукав – Кривошиї,12.485,Хмільницький район,Хмільницька міська
С-02-23-28,Маркуші – Пустовіти – Чернятинці - Хутори Кривошиїнецькі,Маркуші – Пустовіти – Чернятинці – Хутори Кривошиїнецькі,15.911,Хмільницький район,Уланівська сільська
С-02-23-29,Великий Митник - Малий Митник,Великий Митник – Малий Митник,4.76,Хмільницький район,Хмільницька міська
С-02-23-30,Томашпіль – Порик -Курилівка,Томашпіль – Порик – Курилівка,5.967,Хмільницький район,Хмільницька міська
С-02-23-31,(Бердичів – Хмільник – Літин) - Широка Гребля,Р-31 – Широка Гребля,2.528,Хмільницький район,Хмільницька міська
С-02-23-32,Хмільник – Стара Гута,Хмільник – Стара Гута,5.93,Хмільницький район,Хмільницька міська
С-02-23-33,(Куманівці – Уладівка) - Соколова,О-02-23-04 – Соколова,2.365,Хмільницький район,Хмільницька міська
С-02-23-34,Лелітка - Крутнів,Лелітка – Крутнів,2.261,Хмільницький район,Хмільницька міська
С-02-23-35,Качанівка - Софіївка,Качанівка – Софіївка,10.825,Хмільницький район,Війтівецька сільська
С-02-23-36,Качанівка – Маркуші - Уланів,Качанівка – Маркуші – Уланів,18.668,Хмільницький район,"Війтівецька сільська,
Уланівська сільська"
О-02-24-02,Бабчинці - Воєводчинці,Бабчинці – Воєводчинці,24.314,Могилів-Подільський район,"Бабчинецька сільська,
Могилів-Подільська міська"
О-02-24-03,Чернівці - Букатинка,Чернівці – Букатинка,16.11,Могилів-Подільський район,"Чернівецька селищна,
Бабчинецька сільська"
О-02-24-04,Тропове – Біляни -Березівка,Тропове – Біляни – Березівка,15.627,Могилів-Подільський район,"Вендичанська селищна,
Чернівецька селищна"
С-02-24-01,Шендерівка - Дубина,Шендерівка – Дубина,3.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-02,(Вендичани – Чернівці –Томашпіль) - Саїнка,О-02-12-04 – Саїнка,3.2,Могилів-Подільський район,Чернівецька селищна
С-02-24-03,(Мурафа – Моївка –Клембівка) - Степне,О-02-26-07 – Степне,4.14,Могилів-Подільський район,Бабчинецька сільська
С-02-24-04,Ясне - Володіївці,Ясне – Володіївці,4.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-05,(Мурафа – Моївка –Клембівка) - Володіївці,О-02-26-07 – Володіївці,4.0,Могилів-Подільський район,Чернівецька селищна
С-02-24-06,(Лука Барська – Біликівці – Жмеринка – Ямпіль) - Туліїв,Т-02-18 – Туліїв,3.5,Могилів-Подільський район,Чернівецька селищна
С-02-24-07,(Чернівці –Букатинка) - Коси,О-02-24-03 – Коси,7.7,Могилів-Подільський район,"Чернівецька селищна,
Бабчинецька сільська"
С-02-24-08,(Немирів - Могилів-Подільський) - Камінське,Р-36 – Камінське,1.4,Могилів-Подільський район,Чернівецька селищна
С-02-24-09,(Немирів - Могилів-Подільський) - Лужок,Р-36 – Лужок,4.35,Могилів-Подільський район,Чернівецька селищна
С-02-24-10,(Лука Барська – Біликівці – Жмеринка – Ямпіль) - Нове Життя,Т-02-18 – Нове Життя,2.5,Могилів-Подільський район,Бабчинецька сільська
