ref,official_name,name,distance
С041703,Карайкове – /Якимівка – Сурсько-Михайлівка/,Карайкове – С041703,2.6
С041704,Грушівка – Березнуватівка,Грушівка – Березнуватівка,4.53
С041705,Мирне – Павлівка,Мирне – Павлівка,3.49
С041706,Михайлівка – /Т-04-20/,Михайлівка – Т-04-20,8.2
С041707,Письмечеве – /Т-04-20/,Письмечеве – Т-04-20,02.01
С041708,Новопокровка – Товариський Труд,Новопокровка – Товариський Труд,2.78
С041709,Григорівка – Тракторне – /Р-73/,Григорівка – Тракторне – Р-73,05.01
С041710,Любов – Перше Травня,Любов – Перше Травня,2.709
С041711,Панькове – /Н-08/,Панькове – Н-08,2.91
С041712,Новоселівка – Червонокам’яне,Новоселівка – Червонокам’яне,2.32
С041713,Широкополе – Любимівка,Широкополе – Любимівка,5.315
С041714,Антонівка – Василівка,Антонівка – Василівка,4.23
С041715,Новотарасівка – Маяк,Новотарасівка – Маяк,2.6
С041716,Звонецьке – //Н-08/ – Микільське-на-Дніпрі/,Звонецьке – О041706,10.29
С041717,Межове – Березнуватівка,Межове – Березнуватівка,4.45
С041718,Звонецький Хутір – //Н-08/ – Микільське-на-Дніпрі/,Звонецький Хутір – О041706,3.15
С041719,Березнуватівка – Константинівка,Березнуватівка – Константинівка,4.37
С041720,Олексіївка – Микільське-на-Дніпрі,Олексіївка – Микільське-на-Дніпрі,03.09
С041721,Трудолюбівка – Микільське,Трудолюбівка – Микільське,2.18
С041722,Калинівка – Вовніги,Калинівка – Вовніги,5.1
С041723,Калинівка – Гроза,Калинівка – Гроза,02.01
С041724,Калинівка – Башмачка – Кам’яно-Зубилівський кар’єр,Калинівка – Башмачка – Кам’яно-Зубилівський кар’єр,7.765
С041725,Голубинівка – Промінь,Голубинівка – Промінь,1.42
С041726,Дальне – Новопокровка,Дальне – Новопокровка,13.15
С041727,Малинове – Дружелюбівка,Малинове – Дружелюбівка,4.8
С041728,Барвінок – Хижине,Барвінок – Хижине,5.924
С041729,Томаківка – Новомар’ ївка,Томаківка – Новомар’ ївка,5.62
С041730,Пшеничне – Григорівка,Пшеничне – Григорівка,16.625
С041731,Незабудине – Тихе,Незабудине – Тихе,14.028
С041732,Багате – Водяне,Багате – Водяне,6.044
С041733,Бутовичівка – Новоандріївка,Бутовичівка – Новоандріївка,7.9
С041734,Розтання – /Солоне – Лошкарівка/,Розтання – С041734,1.94
С041735,Миколо – Мусіївка – Миропіль – Олександрівка,Миколо – Мусіївка – Миропіль – Олександрівка,9.598
С041736,Тихе – Долинське,Тихе – Долинське,3.58
С041737,Новопокровка – Павлівка – Квітуче,Новопокровка – Павлівка – Квітуче,11.828
С041738,Багате – Малозахарине,Багате – Малозахарине,8.634
С041739,Під’їзд до ХПП Незабудине,Під’їзд до ХПП Незабудине,2.99
С041740,Під’їзд до с. Петрівське,Під’їзд до с. Петрівське,1.95
С041741,Під’їзд до ПТФ “Молодіжний”,Під’їзд до ПТФ “Молодіжний”,2.21
С041801,Софіївка – Володимирівка – Непереможне,Софіївка – Володимирівка – Непереможне,25.8
С041802,Володимирівка – Райполе,Володимирівка – Райполе,8.4
С041803,Водяне – Сергіївка – Мар’є-Дмитрівка – Червоний Яр,Водяне – Сергіївка – Мар’є-Дмитрівка – Червоний Яр,26.533
С041804,/Т-04-19/ – Макорти – Андріївка,Т-04-19 – Макорти – Андріївка,4
С041805,/Т-04-19/ – Андріївка – Южне,Т-04-19 – Андріївка – Южне,12.4
С041806,Лісосклад станції Девладове – /Т-04-19/,Лісосклад станції Девладове – Т-04-19,1.33
С041807,/Н-11/ – Олексіївка,Н-11 – Олексіївка,7.75
С041808,Новохортиця – Вишневе,Новохортиця – Вишневе,6.7
С041809,Павлівка – /Т-04-19/,Павлівка – Т-04-19,2.3
