ref,official_name,name,distance,district
С141137,Глібовичі-Грабник,Глібовичі – Грабник,1.9,Львівський район
С141603,Хоробрів-Опільсько,Хоробрів – Опільсько,6.8,Червоноградський район
С142039,Середній Горб-Лозина,Середній Горб – Лозина,2.4,Яворівський район
С140845,Грабовець-Вихопні-Жовтанці,Грабовець – Вихопні – Жовтанці,9.6,Львівський район
С141146,Кореличі-Миці,Кореличі – Миці,2.9,Львівський район
С142051,Шкло - Коти,Шкло – Коти,9.2,Яворівський район
С140219,Старий Милятин-Новий Милятин,Старий Милятин – Новий Милятин,2.2,Золочівський район
С141406,Новий Острів-Сусолів-Мости,Новий Острів – Сусолів – Мости,13.7,Самбірський район
С140939,Більче-Сухе,Більче – Сухе,5.4,Стрийський район
С140936,Надітичі-Пісочна,Надітичі – Пісочна,3.4,Стрийський район
С140538,Дубравка-Сулятичі,Дубравка – Сулятичі,11.6,Стрийський район
С140123,Гаї-Дітковецькі-(Броди-Тернопіль),Гаї-Дітковецькі – Р-39,5.9,Золочівський район
С140710,Підгородне-Струтин,Підгородне – Струтин,1.8,Золочівський район
С140412,Зади-Тинів,Зади – Тинів,1.7,Дрогобицький район
О140405,Борислав-Дрогобич,Борислав – Дрогобич,2.3,Дрогобицький район
С140665,Замочок-Борове,Замочок – Борове,0.8,Львівський район
С141805,Стрий-Конюхів,Стрий – Конюхів,6.6,Стрийський район
С141262,Раковець-Липники,Раковець – Липники,2.5,Львівський район
С140415,(Східниця-Пісочна)-Далява,Т-14-02 – Далява,3.2,Дрогобицький район
С141727,Губичі-(Нижанковичі-Стрий),Губичі – Т-14-18,3.0,Самбірський район
С141533,(Київ-Чоп)- Плав'я,М-06 – Плав'я,4.1,Стрийський район
С141130,(Перемишляни-Чемеринці-Плугів)-Кутерноги,О141102 – Кутерноги,1.9,Львівський район
О141607,Сокаль-Червоноград,Сокаль – Червоноград,9.3,Червоноградський район
С141240,Ков'ярі-(Київ-Чоп),Ков'ярі – М-06,1.0,Львівський район
С141505,Завадка-Козьова,Завадка – Козьова,18.8,Стрийський район
С141323,Яструбичі-Волиця,Яструбичі – Волиця,6.7,Червоноградський район
О140203,Буськ-Вузлове,Буськ – Вузлове,28.5,Золочівський район;Червоноградський район
С141417,Чернихів-Максимовичі,Чернихів – Максимовичі,13.8,Самбірський район
С141604,Комарів-Переспа,Комарів – Переспа,13.2,Червоноградський район
С141002,Черневе-Арламівська Воля,Черневе – Арламівська Воля,7.0,Яворівський район
С140312,Мости-Тершаків,Мости – Тершаків,10.2,Львівський район
